screen_id,model_id,source,tissue,n_passing_sequences,n_included_sequences,retained_sequence_count,reconstructed_score,official_score,absolute_discrepancy,passes_absolute_1e_8_gate
SC-000132.KY01,ACH-000132,KY,Ovary,3,3,3,0.32289682056931474,0.32289682056931474,0.0,True
SC-000291.KY01,ACH-000291,KY,Ovary,3,3,3,-0.09919216408578783,-0.09919216408578783,0.0,True
SC-000308.KY01,ACH-000308,KY,Ovary,3,3,3,0.17470210325258276,0.17470210325258276,0.0,True
SC-000430.KY01,ACH-000430,KY,Ovary,3,3,3,0.023162460997559243,0.023162460997559253,1.0408340855860843e-17,True
SC-000524.KY01,ACH-000524,KY,Ovary,3,3,3,-0.17674224932480173,-0.17674224932480176,2.7755575615628914e-17,True
SC-000527.KY01,ACH-000527,KY,Ovary,2,2,2,-0.30588920293857674,-0.30588920293857674,0.0,True
SC-000584.KY01,ACH-000584,KY,Ovary,3,3,3,-0.3067650464805441,-0.3067650464805441,0.0,True
SC-000657.KY01,ACH-000657,KY,Ovary,2,2,2,-1.1172557324232413,-1.1172557324232413,0.0,True
SC-000696.KY01,ACH-000696,KY,Ovary,3,3,3,-0.28694871294999663,-0.28694871294999663,0.0,True
SC-000704.KY01,ACH-000704,KY,Ovary,3,3,3,-0.09882071279808761,-0.09882071279808763,1.3877787807814457e-17,True
SC-000719.KY01,ACH-000719,KY,Ovary,2,3,2,-0.13552228894882573,-0.13552228894882573,0.0,True
SC-000885.KY01,ACH-000885,KY,Ovary,3,3,3,-3.456741241685009,-3.456741241685009,0.0,True
SC-000906.KY01,ACH-000906,KY,Ovary,3,3,3,-0.10023716487403735,-0.10023716487403735,0.0,True
SC-000936.KY01,ACH-000936,KY,Ovary,3,3,3,-0.21485892563568568,-0.21485892563568568,0.0,True
SC-000947.KY01,ACH-000947,KY,Ovary,3,3,3,-2.197935660876738,-2.197935660876738,0.0,True
SC-000962.KY01,ACH-000962,KY,Ovary,3,3,3,-4.665737126304375,-4.665737126304375,0.0,True
SC-000966.KY01,ACH-000966,KY,Ovary,3,3,3,-3.2859597488954475,-3.2859597488954475,0.0,True
SC-001151.KY01,ACH-001151,KY,Ovary,3,3,3,-0.30780372739950973,-0.30780372739950973,0.0,True
SC-001418.KY01,ACH-001418,KY,Ovary,3,3,3,-0.0453449501956637,-0.0453449501956637,0.0,True
SC-001630.KY01,ACH-001630,KY,Ovary,3,3,3,-0.4165562334464294,-0.4165562334464294,0.0,True
SC-002140.KY01,ACH-002140,KY,Ovary,3,3,3,0.17648731044202978,0.17648731044202978,0.0,True
SC-002181.KY01,ACH-002181,KY,Ovary,3,3,3,0.11188378758830514,0.11188378758830514,0.0,True
SC-002183.KY01,ACH-002183,KY,Ovary,2,2,2,-0.07607286438550352,-0.07607286438550352,0.0,True
