model_id,model_name,tissue,label,library,screen_ids,score
ACH-002181,OVCA420,Ovary,MSS,KY,SC-002181.KY01,0.11188378758830514
ACH-002183,OVMIU,Ovary,MSS,KY,SC-002183.KY01,-0.07607286438550352
ACH-000911,NUGC-3,Stomach,MSI,KY,SC-000911.KY01,-0.2623746918604037
ACH-000919,IM-95,Stomach,MSI,KY,SC-000919.KY01,-1.349007243523669
ACH-000932,SNU-1,Stomach,MSI,KY,SC-000932.KY01,-2.7988939148057335
ACH-000948,23132-87,Stomach,MSI,KY,SC-000948.KY01,-2.383691552852318
ACH-000144,RERF-GC-1B,Stomach,MSS,KY,SC-000144.KY01,0.1429363683159488
ACH-000427,NCI-N87,Stomach,MSS,KY,SC-000427.KY01,0.09128713767127239
ACH-000581,SNU-16,Stomach,MSS,KY,SC-000581.KY01,-0.029582124640403565
ACH-000793,KATOIII,Stomach,MSS,KY,SC-000793.KY01,0.02443655629810905
ACH-000847,HGC-27,Stomach,MSS,KY,SC-000847.KY01,0.2252853065158202
ACH-000880,AGS,Stomach,MSS,KY,SC-000880.KY01,0.35033331125146544
ACH-002141,HSC-39,Stomach,MSS,KY,SC-002141.KY01,0.32974967860241267
ACH-002161,MKN28,Stomach,MSS,KY,SC-002161.KY01,-0.20631937428098124
ACH-002198,SCH,Stomach,MSS,KY,SC-002198.KY01,0.6900330504710156
ACH-002202,TMK-1,Stomach,MSS,KY,SC-002202.KY01,-0.19692972279878082
