source,model_id,lineage,eligible_screen_ids,EP300_matrix_value,EP300_status
Avana,ACH-000257,Lung,SC-000257.AV01,0,matrix_intact
Avana,ACH-000258,Breast,SC-000258.AV01,0,matrix_intact
Avana,ACH-000259,Peripheral Nervous System,SC-000259.AV01,0,matrix_intact
Avana,ACH-000260,Peripheral Nervous System,SC-000260.AV01,0,matrix_intact
Avana,ACH-000261,Lung,SC-000261.AV01,0,matrix_intact
Avana,ACH-000262,Kidney,SC-000262.AV01,0,matrix_intact
Avana,ACH-000263,Myeloid,SC-000263.AV01,0,matrix_intact
Avana,ACH-000264,Lung,SC-000264.AV01,0,matrix_intact
Avana,ACH-000265,Pancreas,SC-000265.AV01,0,matrix_intact
Avana,ACH-000266,Pancreas,SC-000266.AV01,0,matrix_intact
Avana,ACH-000272,Kidney,SC-000272.AV01,0,matrix_intact
Avana,ACH-000273,CNS/Brain,SC-000273.AV01,0,matrix_intact
Avana,ACH-000274,Skin,SC-000274.AV01,0,matrix_intact
Avana,ACH-000276,Breast,SC-000276.AV01,0,matrix_intact
Avana,ACH-000277,Breast,SC-000277.AV01,0,matrix_intact
Avana,ACH-000278,Ovary/Fallopian Tube,SC-000278.AV01,0,matrix_intact
Avana,ACH-000279,Bone,SC-000279.AV01,0,matrix_intact
Avana,ACH-000280,Ovary/Fallopian Tube,SC-000280.AV01,0,matrix_intact
Avana,ACH-000281,Pancreas,SC-000281.AV01,0,matrix_intact
Avana,ACH-000286,Bowel,SC-000286.AV01,0,matrix_intact
Avana,ACH-000288,Breast,SC-000288.AV01,0,matrix_intact
Avana,ACH-000290,Lung,SC-000290.AV01,0,matrix_intact
Avana,ACH-000291,Ovary/Fallopian Tube,SC-000291.AV01,0,matrix_intact
Avana,ACH-000292,Lung,SC-000292.AV01,0,matrix_intact
Avana,ACH-000293,Uterus,SC-000293.AV01,0,matrix_intact
Avana,ACH-000294,Myeloid,SC-000294.AV01,0,matrix_intact
Avana,ACH-000295,Myeloid,SC-000295.AV01,0,matrix_intact
Avana,ACH-000296,Bowel,SC-000296.AV01,0,matrix_intact
Avana,ACH-000302,Uterus,SC-000302.AV01,0,matrix_intact
Avana,ACH-000303,Esophagus/Stomach,SC-000303.AV01,0,matrix_intact
Avana,ACH-000304,Skin,SC-000304.AV01,0,matrix_intact
Avana,ACH-000305,Esophagus/Stomach,SC-000305.AV01,0,matrix_intact
Avana,ACH-000307,Pancreas,SC-000307.AV01,0,matrix_intact
Avana,ACH-000308,Ovary/Fallopian Tube,SC-000308.AV01,0,matrix_intact
Avana,ACH-000310,Peripheral Nervous System,SC-000310.AV01,0,matrix_intact
Avana,ACH-000311,Lung,SC-000311.AV01,0,matrix_intact
Avana,ACH-000312,Peripheral Nervous System,SC-000312.AV01,0,matrix_intact
Avana,ACH-000313,Kidney,SC-000313.AV01,0,matrix_intact
Avana,ACH-000315,Lymphoid,SC-000315.AV01,1,damaging
Avana,ACH-000316,Liver,SC-000316.AV01,0,matrix_intact
Avana,ACH-000317,Kidney,SC-000317.AV01,0,matrix_intact
Avana,ACH-000318,Esophagus/Stomach,SC-000318.AV01,0,matrix_intact
Avana,ACH-000319,Pleura,SC-000319.AV01,0,matrix_intact
Avana,ACH-000320,Pancreas,SC-000320.AV01,0,matrix_intact
Avana,ACH-000322,Skin,SC-000322.AV01,0,matrix_intact
Avana,ACH-000323,CNS/Brain,SC-000323.AV01,0,matrix_intact
Avana,ACH-000324,Ovary/Fallopian Tube,SC-000324.AV01,0,matrix_intact
Avana,ACH-000325,Esophagus/Stomach,SC-000325.AV02,0,matrix_intact
Avana,ACH-000326,Myeloid,SC-000326.AV01,0,matrix_intact
Avana,ACH-000329,CNS/Brain,SC-000329.AV01,0,matrix_intact
Avana,ACH-000330,Breast,SC-000330.AV01,0,matrix_intact
Avana,ACH-000331,Pleura,SC-000331.AV01,0,matrix_intact
Avana,ACH-000332,Pancreas,SC-000332.AV01,0,matrix_intact
Avana,ACH-000334,Lymphoid,SC-000334.AV01,0,matrix_intact
Avana,ACH-000335,Pleura,SC-000335.AV01,0,matrix_intact
Avana,ACH-000336,Myeloid,SC-000336.AV01,0,matrix_intact
Avana,ACH-000337,Lung,SC-000337.AV01,0,matrix_intact
Avana,ACH-000339,Lung,SC-000339.AV01,0,matrix_intact
Avana,ACH-000341,Peripheral Nervous System,SC-000341.AV01,0,matrix_intact
Avana,ACH-000343,Lung,SC-000343.AV02,0,matrix_intact
Avana,ACH-000344,Esophagus/Stomach,SC-000344.AV01,0,matrix_intact
