model_id,model_name,tissue,label,avana_screen_id,ky_screen_id,wrn_percentile_gap,exp005_gap_flag,nnmd_asymmetry,rocauc_asymmetry,fpr_asymmetry,essential_depletion_asymmetry,nonessential_depletion_asymmetry,qc_rank_asymmetry_composite
ACH-000527,OVISE,Ovary,MSS,SC-000527.AV01,SC-000527.KY01,0.4895238095238096,True,0.17714285714285705,0.10476190476190472,0.1723809523809523,0.16380952380952385,0.5295238095238095,0.22952380952380952
ACH-000584,JHOS-4,Ovary,MSS,SC-000584.AV01,SC-000584.KY01,0.08952380952380956,False,0.01904761904761909,0.003809523809523818,0.056190476190476124,0.24952380952380948,0.2742857142857143,0.12057142857142855
ACH-000657,A2780,Ovary,MSI,SC-000657.AV01,SC-000657.KY01,0.7447619047619047,True,0.05904761904761907,0.16952380952380952,0.2752380952380952,0.23809523809523814,0.04,0.1563809523809524
ACH-000696,OVCAR-8,Ovary,MSS,SC-000696.AV01,SC-000696.KY01,0.40190476190476193,True,0.23809523809523814,0.007619047619047636,0.005714285714285672,0.3790476190476191,0.4171428571428572,0.20952380952380953
ACH-000719,RMG-I,Ovary,MSS,SC-000719.AV02,SC-000719.KY01,0.24190476190476184,False,0.06857142857142856,0.1333333333333333,0.17428571428571432,0.07809523809523808,0.5923809523809525,0.20933333333333337
ACH-000885,TOV-21G,Ovary,MSI,SC-000885.AV01,SC-000885.KY01,0.007619047619047636,False,0.5142857142857143,0.23809523809523814,0.13428571428571434,0.1657142857142857,0.10476190476190478,0.23142857142857148
ACH-000906,ES-2,Ovary,MSS,SC-000906.AV01,SC-000906.KY01,0.23428571428571432,False,0.07238095238095232,0.02285714285714291,0.07714285714285707,0.1561904761904762,0.2114285714285714,0.10799999999999998
ACH-000936,EFO-27,Ovary,MSI,SC-000936.AV01,SC-000936.KY01,0.2571428571428571,True,0.041904761904761945,0.020952380952380945,0.09428571428571428,0.06857142857142856,0.28380952380952384,0.10190476190476191
ACH-000947,OVK-18,Ovary,MSI,SC-000947.AV01,SC-000947.KY01,0.12,False,0.06857142857142862,0.12571428571428567,0.1352380952380952,0.15238095238095228,0.6495238095238095,0.22628571428571426
ACH-001151,OVCAR-5,Ovary,MSS,SC-001151.AV01,SC-001151.KY01,0.28380952380952384,True,0.040000000000000036,0.059047619047619015,0.07428571428571429,0.2571428571428571,0.7619047619047619,0.23847619047619045
ACH-001418,UWB1.289,Ovary,MSS,SC-001418.AV01,SC-001418.KY01,0.3466666666666666,True,0.6095238095238096,0.3866666666666666,0.5847619047619048,0.7847619047619048,0.3961904761904762,0.5523809523809524
ACH-001630,PEO1,Ovary,MSS,SC-001630.AV01,SC-001630.KY01,0.10476190476190472,False,0.3447619047619047,0.4,0.31999999999999995,0.22666666666666663,0.09904761904761905,0.27809523809523806
