model_id,source,tissue,raw_efficacy,raw_growth_rate,efficacy_percentile,growth_percentile
ACH-000552,KY,Large Intestine,0.938566672807894,0.9346215131207632,0.4482758620689655,0.4482758620689655
ACH-000565,KY,Large Intestine,0.9237294566508132,0.8822881582961877,0.2413793103448276,0.3103448275862069
ACH-000651,KY,Large Intestine,0.9587296687958912,1.1110425517121718,0.6896551724137931,0.8620689655172413
ACH-000722,KY,Large Intestine,0.9366472020277355,0.8405397044492031,0.41379310344827586,0.13793103448275862
ACH-000926,KY,Large Intestine,0.9523005857697916,0.8892753817573442,0.5862068965517241,0.3448275862068966
ACH-000935,KY,Large Intestine,0.9244863826453168,0.863229487728484,0.27586206896551724,0.20689655172413793
ACH-000943,KY,Large Intestine,0.9645679110357838,1.1654854933416907,0.8620689655172413,0.9655172413793104
ACH-000950,KY,Large Intestine,0.9273568993038784,1.0506878450479218,0.3103448275862069,0.7241379310344828
ACH-000957,KY,Large Intestine,0.9603642234469456,1.2027824913160523,0.7586206896551724,1.0
ACH-000958,KY,Large Intestine,0.9612731228360012,1.1622507349222246,0.7931034482758621,0.9310344827586207
ACH-000969,KY,Large Intestine,0.9055788815827,0.972519168959966,0.13793103448275862,0.5862068965517241
ACH-000970,KY,Large Intestine,0.9510299177018636,1.12782732762382,0.5517241379310345,0.896551724137931
ACH-000971,KY,Large Intestine,0.9580213901358168,1.0612880058588527,0.6551724137931034,0.7931034482758621
ACH-000985,KY,Large Intestine,0.9772476184419115,0.9369706221441408,1.0,0.4827586206896552
ACH-000991,KY,Large Intestine,0.9590864615016612,1.0124328666267537,0.7241379310344828,0.6551724137931034
ACH-000997,KY,Large Intestine,0.929586654881342,0.9117577724362042,0.3448275862068966,0.3793103448275862
ACH-001039,KY,Large Intestine,0.9735820462993878,1.0042159517171818,0.9655172413793104,0.6206896551724138
ACH-001081,KY,Large Intestine,0.94653262460442,0.9176198891801434,0.5172413793103449,0.41379310344827586
ACH-001345,KY,Large Intestine,0.9548683742735896,1.0511535886533498,0.6206896551724138,0.7586206896551724
ACH-001399,KY,Large Intestine,0.8816169393955702,0.9522701841035084,0.10344827586206896,0.5517241379310345
ACH-002233,KY,Large Intestine,0.9349749839434812,0.8689098961596601,0.3793103448275862,0.2413793103448276
ACH-000001,KY,Ovary,0.8970814281936087,0.9475450198132832,0.48,0.48
ACH-000048,KY,Ovary,0.8897055155986784,1.1363863103144267,0.4,0.8
ACH-000103,KY,Ovary,0.8850746655049835,0.9312042578787832,0.36,0.44
ACH-000132,KY,Ovary,0.9103798390645989,1.1405878896852315,0.56,0.84
ACH-000291,KY,Ovary,0.9151888191211578,0.9667483095773948,0.68,0.56
ACH-000308,KY,Ovary,0.6232522968246711,0.5938739167298045,0.08,0.0
ACH-000430,KY,Ovary,0.9169204368075158,1.167711721094424,0.72,0.92
ACH-000524,KY,Ovary,0.7929548767695889,0.8338249653368347,0.16,0.16
ACH-000527,KY,Ovary,0.8839840699914294,1.0408709070823683,0.32,0.76
ACH-000584,KY,Ovary,0.9677011211409052,0.9940462717180656,0.92,0.64
ACH-000657,KY,Ovary,0.981498689213243,0.9204161047559224,0.96,0.4
ACH-000696,KY,Ovary,0.932081767001158,0.989720310517668,0.8,0.6
ACH-000704,KY,Ovary,0.3593859022295707,0.8714522752580589,0.0,0.28
ACH-000719,KY,Ovary,0.7995228307894514,0.7671974804536269,0.2,0.04
ACH-000885,KY,Ovary,0.9116097183568184,1.196277068924701,0.64,0.96
ACH-000906,KY,Ovary,0.946585303988193,1.001660823130237,0.84,0.68
ACH-000936,KY,Ovary,0.861132558947598,0.9005735246617652,0.28,0.36
ACH-000947,KY,Ovary,0.8938111524776315,1.1667444450718223,0.44,0.88
ACH-000962,KY,Ovary,0.9876525196137352,0.9660413311014936,1.0,0.52
ACH-000966,KY,Ovary,0.8322008707613091,0.8348842941010377,0.24,0.2
ACH-001151,KY,Ovary,0.9215260999772548,1.0284782808788004,0.76,0.72
ACH-001418,KY,Ovary,0.7914316294049487,0.7693956210101953,0.12,0.08
ACH-001630,KY,Ovary,0.9022761099725376,0.8239121532350866,0.52,0.12
ACH-002140,KY,Ovary,0.9579727836987848,1.255766777070169,0.88,1.0
ACH-002181,KY,Ovary,0.9107259467633476,0.8610264547347676,0.6,0.24
ACH-002183,KY,Ovary,0.3993238458041965,0.8793500316683905,0.04,0.32
